English,Korea
ignore,무시하다
volcano,화산
earthquake,지진
hidden,숨겨진
wooden,나무로 만든
suggest,제안하다
recommend,추천하다
realize,"깨닫다, 알아차리다, 인식[자각]하다"
kettle,"주전자, 솥"
author,작가
athlete,운동선수
attract,"마음을 끌다, 끌어들이다[끌어 모으다], 불러일으키다[끌다]"
attractive,매력적인
impressive,인상적인
rescue,구출하다
survive,살아남다
climate,기후
shelter,거주지
simply,그저(단순한)
slightly,약간
quite,"꽤, 상당히, 완전히"
describe,묘사하다
subscribe,"가입하다, 구독하다"
script,"대본, 글씨(체)"
subscription,"가입, 구독"
subscipt,아래에 쓰인
compare,비교하다
climb,기어오르다
inception,"처음, 시작, 태초"
conversion,"전환, 변화"
satellite,위성
universe,우주
artifical,인공의
traditional,전통적인
publish,출판하다
graduate,졸업하다
accident,사고
ingredient,재료
deaf,못 듣는
blind,못 보는
quiet,"조용히, 침묵한"
violate,위반하다
pollute,오염시키다
relative,상대적인
absolute,"완벽한, 완전한"
right,"오른쪽, 옳은, 권리"
effect,효과
pretty,"예쁜, 상당히, 꽤"
support,지지하다
quit,"관두다, 떠나다"
leap,"도약하다, 발전하다, 상승하다"
detect,"발견하다, 탐지하다, 감지하다"
event,"행사, 경기, 사건"
block,"막다, 차단하다, 구역, 덩어리"
odd,이상한
even,"평평한, 균등한, 심지어, ~조차도"
instruct,"지시하다, 알려주다, 교육하다"
garlic,마늘
pepper,후추
strict,엄격한
tease,"놀리다, 집적거리다,(동물을)괴롭히다"
collide ,"충돌하다, 부딪히다"
collision,"충돌, 사고"
prompt,"신속한, 촉구하다, 지시메시지"
reply ,"대답하다, 응답"
obsess,"~에 사로 잡히다, ~을 걱정하다"
input,입력
output,출력
satis,"충분(히), 합격"
satisfy,"만족시키다, 충족시키다"
satisfied,만족하는
satisfying,만족스러운
translate,번역하다
bind,"묶다, 결합하다"
income,수입
outcome,결과
selfish,이기적인
foolish,어리석은
miss,"놓치다, 그리워하다"
argue,언쟁하다
squad,"선수단, (경찰서의)반[계] ,(군대의)분대"
square,"정사각형, 광장"
squat,쪼그리고 앉다
squid,오징어
float,"(물 위나 공중에서) 떠[흘러]가다[떠돌다], 뜨다"
integer,정수
for,"찬성하여, ~위해, 교환, 대표상징"
against,반대하여
peaceful,평화로운
avoid,회피하다
decorate,장식하다
behavior,"동작 방식, 행동, 처신"
shot,"주사, 발사, 발포"
germ,세균
medic,"의사, 의대생, 위생병, 간호병"
medical,의학의
harmful,해로운
spread,퍼지다
sprain,( 팔목·발목을) 삐다[접지르다]
breathe,호흡하다
landmark,지형지물
environment,환경
greedy,욕심 많은
lie,"거짓말, 눕다"
roam,"돌아다니다, 배회하다"
peer,응시하다
notice,"신경씀, 주목, 알아챔, 공고문"
wire,"전선, "
straight,"곧장, 바로, 직선"
quality,질
quantity,양
fluent ,"유창한, 능통한, 구사하는"
tight,"엄격한, 빡빡한, 꽉낀"
crowd,"군중, 붐비다"
solve,해결하다
memorize,암기하다
attention,"주의 (집중),주목"
exhibition,전시
general,일반적인
generally,일반적으로
generation,세대
completely,완전히
recently,최근에
especially,특히
gather,모이다
award,"상, 수여하다"
medicine,약
durgstore,약국
huge,거대한
wealthy,부유한
divide,나누다
mutiply,증식하다
sour,"악화시키다, 신"
bored,지루한
board,"판, 탑승하다"
expert,"전문가, 숙련된"
trail,"등산로, 끌다"
bacteria,박테리아
sore,아픈
runny,콧물이 흐르는
attack,공격하다
defend,방어하다
scope,"범위, 영역"
president,대통령
govern,통치하다
government,정부
national,국가적인
vote,투표하다
elect,선출하다
log,"접속하다, 기록하다"
pause,"멈춤, 중단"
district,"지역, 구역"
greasy,기름진
grade,성적
semester,학기
hopeful,희망찬
hard-working,근면한
punish,벌주다
succeed,성공하다
napkin,냅킨
cooker,조리기구
delicious,"아주 맛있는, 아주 기분좋은"
tasty,맛있는
salty,짠
chew,씹다
serve,제공하다
tragedy,비극
disaster,재앙
terrible,끔찍한
definite,"분명한, 뚜렷한"
definitely,분명히
definition,"정의, 의미"
immediately,즉시
sink,가랑앉다
drown,익사하다
community,"사회, 공동체, 단체"
require,"필요하다, 요구하다, 규정하다"
requirement,"조건, 요건, 자격"
chef,요리사
chief,"장관, 국장, 주요한"
resident,"주민, 거주민, 거주하는"
sufficient,"충분한, 만족스러운"
electricity,전기
technolpgy,기술
opposite,"반대의, 반대편의"
available,이용가능한
fasten,"메다, 고정시키다"
disagree,"반대하다, 동의하지 않다 "
reception,"환영만찬, 접수처, 안내데스크"
necessary,"필요한, 필수적인"
justice,정의
victory,승리
spicy,매운
loud,"큰 소리로, 시끄러운"
register,등록하다
represent,"대표하다, 나타내다"
belief,믿음(believe:믿다)
temple,절
suit,정장(한벌)
suite,스위트(특별실)
below,아래에
land,"땅, 착륙하다"
bloom,(꽃이)피었다
pray,기도하다
prey,먹이
worship,예배하다
religion,종교
sacred,성스로운
religious,"종교의, 종교적인"
scared,두려워 하는
dig,파다
blow,불다
cliff,절벽
leaf,나뭇잎(복수형:leaves)
temper,"성격, 화"
temperature,온도
search,"찾기, 수색, 검색, 찾아[살펴]보다, 뒤지다, 수색[검색]하다"
research,"조사, 연구, 조사하다, 연구하다"
addition,중독
clearly,분명히
rapidly,빠르게
spend,"보내다, 쓰다"
pack,짐을 꾸리다
explore,탐험하다
instrument,도구
experiment,실험
recent,최근의
several,몇몇의
pretend,"~인척하다, 상상의"
clerver,영리한
blink,깜빡이다
groan,"(고통·짜증으로) 신음[끙 하는] 소리를 내다, (기뻐서) 낮게 탄성을 지르다"
perfume,향수
relationship,관계
celebrity,유명인
celebration,"기념일, 축하, 세레머니"
asleep,잠든
awake,"깨우다, 깨어있는"
prevent,방지하다
swallow,삼키다
rogue,"범죄, 악당"
grammar,문법
grammatically,문법적으로
executive,"임원, 대표, 책임자"
sentence,문장
language,언어
fake,가짜의
FALSE,거짓의
test,문자를 보내다
commuicate,소통하다
octopus,문어
crocodile,악어
aligator,악어
thrill,"흥분, 오싹함"
thrilled,매우 신난
thrilling,매우 신나는
seem,~인 것 같다
explain,설명하다
plain ,"평평한, 명백한, 밋밋한"
architect,건축가
architecture,건축
sculpture,조각품
scientific,과학적인
historical,(역사와 관련된)역사적인
historic,(역사적으로 중요한)역사적인
shorten,짧게 하다
frighten,두렵게 하다
venue,장소
surgery,수술
emergency,비상사태
alive,살아있는
scared,두려워하는
sew,"바느질하다,  꿰매다"
greek,"개울, 시내"
rope,밧줄
ladder,사다리
item,"항목, 물품"
tool,도구
international,국제적인
tie,묶다
offer,제공하다
exist,"존재하다, 실재하다"
submission,"제출, 복종"
glass,유리
glasses,안경
novel,소설
tale,"소설, 이야기"
detective,탐정
original,원래의
classical,고전의
steal,흠치다
collect,수집하다
submit,"제출하다, 복종하다"
comprehension,이해력
truth,진실
death,죽음
whole,"전체의, 전체"
wholesale,"도매의, 도매"
regular,규칙적인
guess,추측하다
follow,따르다
interpret,"해석하다, 통역하다"
interpreter,통역사
rough,"거친, 대충"
instance,"사례, 경우"
almost,거의
near,가까운
nearly,거의
neighbor,이웃
neighborhood,"근처, 인근, 동네"
tough,"힘든, 어려운"
harsh,"가혹한, 냉정한"
yell,소리치다
bury,"묻다, 매장하다"
release,"풀어주다, 석방, 발표, 개봉, 발간, 출시"
batch,"(일괄적으로 처리되는) 집단, 무리, 함께 묶다"
validation,확인
shell,껍질
stripe,줄무늬
advertise,광고하다
announce,발표하다
Portfolio,"서류가방, 작품집"
label,"표, 딱지, 적다, (상표/표)를 붙이다"
uniform,교복
principal,교장
polite,예의 바른
punctual,시간을 잘 지키는
review,"검토, 논평, 복습하다"
preview,"시사회, 사전검토, 미리보다, 예습하다"
verify,확인하다
whisper,"속삭이다, 은밀히 말하다"
tuck,"밀어넣다[접다],  집어[끼워] 넣다"
ever,"언제나, 항상, 비교급·최상급의 의미를 강조함"
branch,"나뭇가지, 지점, (둘 이상으로) 갈라지다[나뉘다]"
sign,"조짐, 표지판, 서명하다, 계약하다"
vocabulary,어휘
pronounce,발음하다
sigh,"한숨을 쉬다, 한숨짓다"
belong,속하다
indicate,"가리키다, 지적하다, 암시하다"
poke,"(손가락 등으로) 쿡 찌르다, (재빨리) 밀다[찌르다], 쑥 내밀다"
syntax,"문법, 구문론, 통사론"
trunk,"여행용 큰 가방, 자동차의 짐칸, 큰 줄기의 몸통, 남성용 바지"
truck,무개화차
lung,폐
cehst,흉곽
contrast,대조하다
determine,"알아내다, 결정하다"
dump,"버리다, 떠넘기다"
victim,"희생자, 피해자"
wrong,"틀린, 잘못된"
character,등장인물
personal,개인의
personality,성격
wonder,궁금해하다
foresee,예견하다
occur,"일어나다, 발생하다"
except,"제외하다, 제외하고"
smoke,연기
chimney,굴뚝
effective,효과적인
sensitive,민감한
reserve,예약하다
enough,충분한
insufficient,"부족한, 불충분한"
surf,"파도, 인터넷을 서핑[검색]하다, 파도타기[서핑]를 하다[하러 가다]"
frequency,"빈도, 회수"
doubt,"의심, 의문"
emtion,감정
damage,"손상, 피해"
depress,우울하게 만들다
depressed,우울해 하는
depressing,우울하게 하는
threaten,협박(위협)하다
tire,"타이어, 피로[피곤]해지다, 지치다; 피로하게[피곤하게/지치게] 만들다"
tired,"피로한, 피곤한, 지친"
crown,"왕관, 정부"
mystery,신비스러운
destiny,운명
population,인구
generation,세대
terrible,끔찍한
mysterious,신비한
spoil,망치다
crawl,(엎드려) 기다
